bundle_name,tier,tier_price_floor_gbp,title
Humble Tech Book Bundle: Data Science by No Starch Press,TIER_10,10,Data Visualization with JavaScript
Humble Tech Book Bundle: Data Science by No Starch Press,TIER_10,10,Doing Math with Python
Humble Tech Book Bundle: Data Science by No Starch Press,TIER_10,10,Math Adventures with Python
Humble Tech Book Bundle: Data Science by No Starch Press,TIER_10,10,Statistics Done Wrong
Humble Tech Book Bundle: Data Science by No Starch Press,TIER_10,10,The Book of F#
Humble Tech Book Bundle: Data Science by No Starch Press,TIER_18,18,Bayesian Statistics the Fun Way
Humble Tech Book Bundle: Data Science by No Starch Press,TIER_18,18,Mining Social Media
Humble Tech Book Bundle: Data Science by No Starch Press,TIER_18,18,Python Flash Cards
Humble Tech Book Bundle: Data Science by No Starch Press,TIER_18,18,The Art of R Programming
Humble Tech Book Bundle: Data Science by No Starch Press,TIER_18,18,The Book of R
Humble Tech Book Bundle: Data Science by No Starch Press,TIER_36,36,Dive Into Data Science
Humble Tech Book Bundle: Data Science by No Starch Press,TIER_36,36,Modeling and Simulation in Python
Humble Tech Book Bundle: Data Science by No Starch Press,TIER_36,36,MySQL Crash Course
Humble Tech Book Bundle: Data Science by No Starch Press,TIER_36,36,"Practical SQL, 2nd Edition"
Humble Tech Book Bundle: Data Science by No Starch Press,TIER_36,36,Python Tools for Scientists
Humble Tech Book Bundle: Data Science by No Starch Press,TIER_36,36,Python for Data Science
Humble Tech Book Bundle: Data Science by No Starch Press,TIER_36,36,The Book of Dash
Humble Tech Book Bundle: Data Science by No Starch Press,TIER_36,36,The Shape of Data
