date,region,channel,format,tier,units,gross_revenue_gbp,cogs_fees_gbp,profit_gbp,customer_age_band,customer_segment,customer_income_band,week
2023-11-05,Rest_of_UK,Amazon,Print,N/A,4,125.45,35.63,89.82,25-34,Hobbyist,35-50k,2023-10-30/2023-11-05
2023-12-12,Rest_of_UK,Humble_Direct,Digital,TIER_18,1,24.82,3.87,20.95,25-34,Hobbyist,50-75k,2023-12-11/2023-12-17
2023-12-06,Rest_of_UK,Humble_Direct,Digital,TIER_10,1,15.81,1.78,14.03,25-34,Early_Career,20-35k,2023-12-04/2023-12-10
2023-12-12,Rest_of_UK,Humble_Direct,Digital,TIER_18,1,25.56,2.84,22.72,45-54,Senior,20-35k,2023-12-11/2023-12-17
2023-12-18,Rest_of_UK,Humble_Direct,Digital,TIER_10,2,28.46,4.5,23.96,25-34,Mid_Career,<20k,2023-12-18/2023-12-24
2023-11-16,Manchester,Humble_Direct,Digital,TIER_18,2,47.96,6.52,41.44,25-34,Student,20-35k,2023-11-13/2023-11-19
2023-12-23,Rest_of_UK,Amazon,Digital,N/A,2,35.89,4.87,31.02,45-54,Mid_Career,20-35k,2023-12-18/2023-12-24
2023-11-12,Rest_of_UK,Humble_Direct,Digital,TIER_10,1,10.97,1.43,9.54,16-24,Mid_Career,20-35k,2023-11-06/2023-11-12
2023-11-09,Rest_of_UK,Humble_Direct,Digital,TIER_10,2,30.9,4.63,26.27,25-34,Hobbyist,50-75k,2023-11-06/2023-11-12
2023-11-21,Rest_of_UK,Humble_Direct,Digital,TIER_10,1,11.21,1.24,9.97,35-44,Student,50-75k,2023-11-20/2023-11-26
2023-11-02,Rest_of_UK,Humble_Direct,Digital,TIER_18,2,44.98,3.79,41.2,25-34,Early_Career,<20k,2023-10-30/2023-11-05
2023-12-11,Manchester,Humble_Direct,Digital,TIER_36,1,48.76,4.01,44.75,55+,Early_Career,50-75k,2023-12-11/2023-12-17
2023-11-04,Rest_of_UK,Humble_Direct,Digital,TIER_18,2,43.16,5.7,37.46,25-34,Student,50-75k,2023-10-30/2023-11-05
2023-11-05,Rest_of_UK,Humble_Direct,Digital,TIER_10,1,13.96,2.13,11.83,35-44,Student,50-75k,2023-10-30/2023-11-05
2023-12-22,Manchester,Humble_Direct,Digital,TIER_36,2,113.17,12.35,100.82,25-34,Early_Career,75k+,2023-12-18/2023-12-24
2023-11-13,Rest_of_UK,Humble_Direct,Digital,TIER_36,1,55.24,9.35,45.89,25-34,Early_Career,50-75k,2023-11-13/2023-11-19
2023-11-18,Rest_of_UK,Humble_Direct,Digital,TIER_10,2,21.47,3.5,17.97,16-24,Student,35-50k,2023-11-13/2023-11-19
2023-12-06,Rest_of_UK,Humble_Direct,Digital,TIER_36,2,78.22,6.37,71.85,25-34,Student,35-50k,2023-12-04/2023-12-10
2023-12-22,Rest_of_UK,Humble_Direct,Digital,TIER_10,2,28.87,2.69,26.18,16-24,Hobbyist,20-35k,2023-12-18/2023-12-24
2023-11-07,Rest_of_UK,Humble_Direct,Digital,TIER_36,2,73.07,9.9,63.17,35-44,Student,<20k,2023-11-06/2023-11-12
2023-12-10,Rest_of_UK,Humble_Direct,Digital,TIER_36,1,36.39,3.31,33.08,45-54,Senior,20-35k,2023-12-04/2023-12-10
2023-11-23,Rest_of_UK,Humble_Direct,Digital,TIER_18,1,22.6,3.28,19.32,45-54,Early_Career,20-35k,2023-11-20/2023-11-26
2023-11-15,Rest_of_UK,Amazon,Digital,N/A,1,19.9,2.21,17.69,16-24,Hobbyist,<20k,2023-11-13/2023-11-19
2023-11-13,Rest_of_UK,Humble_Direct,Digital,TIER_10,1,10.32,1.44,8.88,35-44,Early_Career,20-35k,2023-11-13/2023-11-19
2023-12-23,Rest_of_UK,Amazon,Digital,N/A,2,33.71,4.1,29.61,16-24,Early_Career,35-50k,2023-12-18/2023-12-24
2023-11-27,Manchester,Amazon,Digital,N/A,2,41.66,7.41,34.25,45-54,Senior,35-50k,2023-11-27/2023-12-03
2023-12-03,Rest_of_UK,Humble_Direct,Digital,TIER_36,1,49.81,5.31,44.5,16-24,Early_Career,20-35k,2023-11-27/2023-12-03
2023-12-12,Rest_of_UK,Humble_Direct,Digital,TIER_10,1,11.78,2.06,9.72,45-54,Early_Career,20-35k,2023-12-11/2023-12-17
2023-11-25,Rest_of_UK,Humble_Direct,Digital,TIER_18,1,25.94,2.6,23.34,35-44,Hobbyist,<20k,2023-11-20/2023-11-26
2023-11-29,Rest_of_UK,Humble_Direct,Digital,TIER_10,2,31.51,5.04,26.46,35-44,Senior,50-75k,2023-11-27/2023-12-03
2023-12-20,Rest_of_UK,Humble_Direct,Digital,TIER_18,2,48.36,6.12,42.24,25-34,Senior,50-75k,2023-12-18/2023-12-24
2023-12-21,Rest_of_UK,Humble_Direct,Digital,TIER_10,1,13.95,1.7,12.25,35-44,Mid_Career,20-35k,2023-12-18/2023-12-24
2023-12-10,Rest_of_UK,Humble_Direct,Digital,TIER_10,1,15.62,1.93,13.68,25-34,Mid_Career,35-50k,2023-12-04/2023-12-10
2023-12-18,Rest_of_UK,Amazon,Digital,N/A,5,107.07,9.83,97.24,45-54,Mid_Career,<20k,2023-12-18/2023-12-24
2023-11-26,Rest_of_UK,Humble_Direct,Digital,TIER_36,1,45.55,5.02,40.53,45-54,Senior,<20k,2023-11-20/2023-11-26
2023-12-02,Rest_of_UK,Indie_Bookshop,Digital,N/A,1,17.99,2.61,15.38,16-24,Hobbyist,<20k,2023-11-27/2023-12-03
2023-11-14,Rest_of_UK,Amazon,Digital,N/A,1,10.07,0.86,9.21,35-44,Senior,20-35k,2023-11-13/2023-11-19
2023-11-13,Rest_of_UK,Humble_Direct,Digital,TIER_36,1,54.1,4.55,49.56,25-34,Student,35-50k,2023-11-13/2023-11-19
2023-11-29,Rest_of_UK,Amazon,Digital,N/A,1,18.52,3.3,15.22,35-44,Student,35-50k,2023-11-27/2023-12-03
2023-12-10,Manchester,Indie_Bookshop,Print,N/A,1,34.66,11.93,22.73,35-44,Mid_Career,<20k,2023-12-04/2023-12-10
2023-11-14,Rest_of_UK,Humble_Direct,Digital,TIER_18,2,46.98,5.66,41.32,25-34,Student,<20k,2023-11-13/2023-11-19
2023-12-21,Rest_of_UK,Humble_Direct,Digital,TIER_18,2,44.83,4.56,40.27,35-44,Early_Career,<20k,2023-12-18/2023-12-24
2023-11-16,Rest_of_UK,Humble_Direct,Digital,TIER_18,1,25.05,2.8,22.25,45-54,Mid_Career,20-35k,2023-11-13/2023-11-19
2023-11-23,Rest_of_UK,Humble_Direct,Digital,TIER_18,1,23.44,3.09,20.34,45-54,Early_Career,50-75k,2023-11-20/2023-11-26
2023-11-21,Manchester,Humble_Direct,Digital,TIER_10,1,11.04,1.23,9.81,35-44,Student,50-75k,2023-11-20/2023-11-26
2023-11-27,Rest_of_UK,Humble_Direct,Digital,TIER_18,1,28.35,5.09,23.26,35-44,Early_Career,35-50k,2023-11-27/2023-12-03
2023-11-08,Rest_of_UK,Humble_Direct,Digital,TIER_10,1,11.0,1.8,9.2,55+,Mid_Career,50-75k,2023-11-06/2023-11-12
2023-12-08,Rest_of_UK,Humble_Direct,Digital,TIER_10,1,12.6,1.6,11.0,16-24,Student,50-75k,2023-12-04/2023-12-10
2023-12-20,Rest_of_UK,Humble_Direct,Digital,TIER_18,1,20.63,3.39,17.24,35-44,Mid_Career,35-50k,2023-12-18/2023-12-24
2023-11-03,Rest_of_UK,Humble_Direct,Digital,TIER_18,2,46.42,7.28,39.14,45-54,Mid_Career,50-75k,2023-10-30/2023-11-05
2023-11-17,Rest_of_UK,Humble_Direct,Digital,TIER_18,1,27.91,3.99,23.91,16-24,Early_Career,20-35k,2023-11-13/2023-11-19
2023-12-02,Manchester,Indie_Bookshop,Print,N/A,1,22.73,10.94,11.79,55+,Mid_Career,20-35k,2023-11-27/2023-12-03
2023-12-23,Rest_of_UK,Amazon,Print,N/A,2,60.9,21.19,39.72,35-44,Hobbyist,75k+,2023-12-18/2023-12-24
2023-12-11,Rest_of_UK,Amazon,Print,N/A,1,31.21,12.03,19.18,25-34,Hobbyist,20-35k,2023-12-11/2023-12-17
2023-11-04,Manchester,Humble_Direct,Digital,TIER_36,2,88.1,7.48,80.62,16-24,Mid_Career,35-50k,2023-10-30/2023-11-05
2023-12-13,Rest_of_UK,Indie_Bookshop,Print,N/A,1,28.57,11.16,17.41,25-34,Mid_Career,<20k,2023-12-11/2023-12-17
2023-12-11,Rest_of_UK,Humble_Direct,Digital,TIER_36,1,42.46,5.9,36.55,25-34,Early_Career,50-75k,2023-12-11/2023-12-17
